Name Startup	Monthly Visits	Monthly Visits Growth	Country	Share of Monthly Visits	Monthly Visits Growth Country	Site's Rank in Country	Monthly Rank Growth	Data e hora da Captura	URL
UNI5	7,591	-22.04%	India	23%	87.78%	187,552	33.72%	28/01/2020 23:50:24	https://www.crunchbase.com/organization/uni5#section-web-traffic-by-similarweb
UNI5	7,591	-22.04%	United States	4%	-46.7%	1,910,144	123.22%	28/01/2020 23:50:24	https://www.crunchbase.com/organization/uni5#section-web-traffic-by-similarweb
UNI5	7,591	-22.04%	Canada	4%	281.44%	987,087	9.6%	28/01/2020 23:50:24	https://www.crunchbase.com/organization/uni5#section-web-traffic-by-similarweb
UNI5	7,591	-22.04%	Australia	2%	—	776,217	—	28/01/2020 23:50:24	https://www.crunchbase.com/organization/uni5#section-web-traffic-by-similarweb
UNI5	7,591	-22.04%	United Kingdom	2%	—	1,717,813	—	28/01/2020 23:50:24	https://www.crunchbase.com/organization/uni5#section-web-traffic-by-similarweb
BitcoinToYou	44,064	-22.46%	Brazil	68%	-23.94%	18,330	-2.61%	28/01/2020 23:50:28	https://www.crunchbase.com/organization/bitcointoyou#section-web-traffic-by-similarweb
BitcoinToYou	44,064	-22.46%	United States	1%	13.26%	2,553,523	-24.38%	28/01/2020 23:50:28	https://www.crunchbase.com/organization/bitcointoyou#section-web-traffic-by-similarweb
BitcoinToYou	44,064	-22.46%	China	1%	—	1,313,173	—	28/01/2020 23:50:28	https://www.crunchbase.com/organization/bitcointoyou#section-web-traffic-by-similarweb
BitcoinToYou	44,064	-22.46%	Mexico	0%	—	368,152	—	28/01/2020 23:50:28	https://www.crunchbase.com/organization/bitcointoyou#section-web-traffic-by-similarweb
BitcoinToYou	44,064	-22.46%	Turkey	0%	—	1,042,006	—	28/01/2020 23:50:28	https://www.crunchbase.com/organization/bitcointoyou#section-web-traffic-by-similarweb
Buscar Peças	1,819	34.84%	Brazil	65%	52.7%	236,134	-39.3%	28/01/2020 23:51:04	https://www.crunchbase.com/organization/buscar-pe%C3%A7as#section-web-traffic-by-similarweb
Digital House	163,227	-47.11%	Argentina	42%	-50.9%	3,847	102.79%	28/01/2020 23:51:41	https://www.crunchbase.com/organization/digital-house#section-web-traffic-by-similarweb
Digital House	163,227	-47.11%	Brazil	28%	-33.99%	18,058	47.77%	28/01/2020 23:51:41	https://www.crunchbase.com/organization/digital-house#section-web-traffic-by-similarweb
Digital House	163,227	-47.11%	United States	1%	-21.36%	815,770	0.93%	28/01/2020 23:51:41	https://www.crunchbase.com/organization/digital-house#section-web-traffic-by-similarweb
Digital House	163,227	-47.11%	Spain	1%	—	396,467	—	28/01/2020 23:51:41	https://www.crunchbase.com/organization/digital-house#section-web-traffic-by-similarweb
Digital House	163,227	-47.11%	Angola	0%	—	23,487	—	28/01/2020 23:51:41	https://www.crunchbase.com/organization/digital-house#section-web-traffic-by-similarweb
Indesilife	15,893	-10.98%	India	4%	-48.46%	77,594	5%	28/01/2020 23:52:35	https://www.crunchbase.com/organization/indesilife#section-web-traffic-by-similarweb
Indesilife	15,893	-10.98%	Pakistan	1%	-46.25%	161,914	5.86%	28/01/2020 23:52:35	https://www.crunchbase.com/organization/indesilife#section-web-traffic-by-similarweb
Indesilife	15,893	-10.98%	Canada	1%	—	1,695,528	—	28/01/2020 23:52:35	https://www.crunchbase.com/organization/indesilife#section-web-traffic-by-similarweb
Indesilife	15,893	-10.98%	Italy	1%	—	1,886,403	—	28/01/2020 23:52:35	https://www.crunchbase.com/organization/indesilife#section-web-traffic-by-similarweb
Indesilife	15,893	-10.98%	Jordan	1%	—	158,028	—	28/01/2020 23:52:35	https://www.crunchbase.com/organization/indesilife#section-web-traffic-by-similarweb
Quanto Gastei	372	227.79%	Bangladesh	40%	—	269,389	—	28/01/2020 23:52:39	https://www.crunchbase.com/organization/quanto-gastei#section-web-traffic-by-similarweb
Hand Talk	48,278	-38.09%	Brazil	47%	-45.23%	31,677	51.05%	28/01/2020 23:52:43	https://www.crunchbase.com/organization/hand-talk#section-web-traffic-by-similarweb
Hand Talk	48,278	-38.09%	United Kingdom	1%	—	1,483,912	—	28/01/2020 23:52:43	https://www.crunchbase.com/organization/hand-talk#section-web-traffic-by-similarweb
Hand Talk	48,278	-38.09%	United States	0%	—	906,028	—	28/01/2020 23:52:43	https://www.crunchbase.com/organization/hand-talk#section-web-traffic-by-similarweb
