TotalFundingAmount	CbRank	Name Startup	ShortDescription	Location	Categories	HeadquartersRegions	FoundedDate	Founders	OperationStatus	FundingStatus	LastFundingType	NumberOfEmployees	LegalName	IpoStatus	CompanyType	Website	Facebook	Linkedin	Twitter	Email	PhoneNumber	Data e hora da Captura	URL
	524,517	Engenharia Hoje	Engenharia Hoje offers news, information, and other content on engineering to assist engineers and engineering students with their tasks.	" Tubarão,  Santa Catarina,  Brazil, "	" Education, Information Services, News"		2013		Active			1-10		Private		" www.engenhariahoje.com/ "	https://www.facebook.com/EngenhariaHoje		https://twitter.com/EngenhariaHoje	contato@engenhariahoje.com	(48) 991327952	26/01/2020 11:07:56	https://www.crunchbase.com/organization/engenharia-hoje
R$880K		UNI5	Uni5 owns and operates an online B2B portal joining companies in leather and shoes market.	" Rio Branco,  Mato Grosso do Sul,  Brazil, "	" B2B, Internet, Shoes"				Active		Series C	11-50		Private		" uni5.co "	https://www.facebook.com/sakthi.unifive		https://www.twitter.com/uni5_sakthi			26/01/2020 11:08:46	https://www.crunchbase.com/organization/uni5
	201,931	BitcoinToYou	BitcoinToYou is an online bitcoins exchange center that operates in Brazil.	" Brasiléia,  Acre,  Brazil, "	" Bitcoin, Payments"				Active			1-10		Private		" www.bitcointoyou.com/ "	https://www.facebook.com/Bitcointoyou		https://twitter.com/BitcoinToYou	support@bitcointoyou.zendesk.com	+55 31 2571-5791	26/01/2020 11:09:09	https://www.crunchbase.com/organization/bitcointoyou
	600,375	GT FILA	GT FILA is a Time Queuing System.	" Rio Branco,  Mato Grosso do Sul,  Brazil, "	" Internet, Software"				Active					Private		" www.gtfila.com.br "	https://www.facebook.com/pg/GTFILA					26/01/2020 11:09:57	https://www.crunchbase.com/organization/gt-fila
	678,865	DTEC Soluções	DTEC Soluções specializes in information technology and communication consulting.	" Rio Branco,  Mato Grosso do Sul,  Brazil, "	" Communications Infrastructure, Information and Communications Technology (ICT), Information Technology"		2013		Active			1-10		Private		" dtecsolucoes.com/ "		https://www.linkedin.com/company/dtec-solu%C3%A7%C3%B5es-e-servi%C3%A7os/				26/01/2020 11:10:43	https://www.crunchbase.com/organization/dtec-solu%C3%A7%C3%B5es
	553,447	Buscar Peças	Buscar Peças is a search site for parts of cars and motorcycles, aimed at people who need to know prices and prices with ease and urgency.	" Recife,  Bahia,  Brazil, "	" Manufacturing, Marketing, Product Design, Retail, Sales"				Active					Private		" www.buscarpecas.com.br "	https://www.facebook.com/buscarpeca/			suporte@buscarpecas.com.br	+55 81 99770-0690	26/01/2020 11:11:02	https://www.crunchbase.com/organization/buscar-pe%C3%A7as
	822,598	Lance Certo	Lance Certo is an auction of those who pay less.	" Ceará,  Acre,  Brazil, "	" Information Services, Information Technology"		2016		Active			1-10		Private				https://www.linkedin.com/company/lance-certo/				26/01/2020 11:11:54	https://www.crunchbase.com/organization/lance-certo
	527,203	Royal Advice	Royal Advice is an application that provides labor and tax for finance, business consulting, and accounting.		" Accounting, Apps, Consulting, Finance"				Active					Private		" www.royaladvice.com.br "						26/01/2020 11:12:36	https://www.crunchbase.com/organization/royal-advice
$20M	11,004	Digital House	Digital House is a coding school where new generations of coders and digital professionals are trained.	" Buenos Aires,  Distrito Federal,  Argentina, "	" Analytics, Corporate Training, Digital Marketing, Education, Information Technology"		2015		Active		Series B	11-50	Digital House S.A.	Private		" www.digitalhouse.com/ "	https://www.facebook.com/digitalhouse.edu/	https://www.linkedin.com/school/digital-house-argentina/	https://twitter.com/_digitalhouse			26/01/2020 11:13:42	https://www.crunchbase.com/organization/digital-house
	756,650	Lojão da Amazônia	Lojão da Amazônia is an Amazon company.	" Rio Branco,  Mato Grosso do Sul,  Brazil, "	" B2C, E-Commerce, Marketing, Retail, Sales"		Oct 2015		Active			1-10		Private		" www.lojaodaamazonia.com.br/ "	https://www.facebook.com/lojaodaamazonia/		https://twitter.com/lojaodaamazonia	lojaodaamazonia@gmail.com	68 99969-8023	26/01/2020 11:14:05	https://www.crunchbase.com/organization/loj%C3%A3o-da-amaz%C3%B4nia
	804,435	Listazi	Listazi aims to group items from a list and offer places to buy with lower price and better cost benefit.	" Rio Branco,  Mato Grosso do Sul,  Brazil, "	" E-Commerce, Internet, Marketing, Retail, Sales"				Active					Private								26/01/2020 11:14:51	https://www.crunchbase.com/organization/listazi
	696,445	GRUPO KATSU	GRUPO KATSU is an education solutions company of desktops applications for high school and elementary education I and II.		" Apps, Education"				Active			1-10		Private		" www.grupokatsu.com.br "	https://www.facebook.com/GKATSU		https://twitter.com/fredkatsu			26/01/2020 11:15:56	https://www.crunchbase.com/organization/grupo-katsu
	548,461	Indesilife	Indesilife is a Brazilian entertainment platform.	" Campestre,  Alagoas,  Brazil, "	" Content, Digital Entertainment, Marketing"		2017		Active					Private		" indesilife.com/ "	https://www.facebook.com/pg/indesilife/	https://www.linkedin.com/in/indesi-life-1342b9171/	https://twitter.com/indesilife			26/01/2020 11:16:52	https://www.crunchbase.com/organization/indesilife
	447,810	Quanto Gastei	Quanto Gastei is a financial control application that serves as a personal financial manager.	" Maceió,  Alagoas,  Brazil, "	" Apps, Financial Services, FinTech"		2014		Active			11-50		Private		" www.quantogastei.com "	https://www.facebook.com/quantogastei	https://www.linkedin.com/company/quantogastei	https://twitter.com/quantogastei	contato@cimagastei.com		26/01/2020 11:17:46	https://www.crunchbase.com/organization/quanto-gastei
$770K		Hand Talk	Hand Talk is a mobile translator for smartphones and tablets which converts in real time content in port.	" Maceió,  Alagoas,  Brazil, "	" Apps, Education, Natural Language Processing, Software, Translation Service"		Jul 1, 2012		Active		Seed	11-50		Private		" www.handtalk.me "	https://www.facebook.com/handtalkBR/	https://www.linkedin.com/company/hand-talk/		assessoria@handtalk.com.br		26/01/2020 11:18:43	https://www.crunchbase.com/organization/hand-talk
	466,083	Labbit Space	Labbit Space is a Brazilian game development company that creates stories and memories using video game engines.	" Maceió,  Alagoas,  Brazil, "	" Computer, Information Technology, Video Games"				Active					Private		" www.labbitspace.com/ "	https://www.facebook.com/pg/labbitspace					26/01/2020 11:19:27	https://www.crunchbase.com/organization/labbit-space
